r0,m1,log_tau1,c1
1.014816486327633882e+00,3.117543113333820504e-01,-2.701719581438214668e+00,4.357200960961262193e-01
1.023532291099257474e+00,3.621654142144892230e-01,-2.137719850953327949e+00,5.043530319907238990e-01
1.034341866714663771e+00,4.213500888389831167e-01,-1.657965225381162977e+00,5.725563673808871101e-01
